0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:13:43 +0900] "GET /ctc/resources/image/hotel/htList04.png HTTP/1.1" 200 865670
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:13:43 +0900] "GET /ctc/resources/image/hotel/htList02.png HTTP/1.1" 200 3469577
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:13:43 +0900] "GET /ctc/resources/image/hotel/recomHotelList.jpg HTTP/1.1" 200 49586
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:13:43 +0900] "GET /ctc/resources/image/hotel/jejuHtList01.jpg HTTP/1.1" 200 94903
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:13:45 +0900] "GET /ctc/goods/goodsFlightSearch.do HTTP/1.1" 200 27363
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:13:45 +0900] "GET /ctc/resources/image/flight/air.png HTTP/1.1" 200 5248
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:13:45 +0900] "GET /ctc/resources/image/flight/search.png HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:13:45 +0900] "GET /ctc/resources/css/style.css HTTP/1.1" 200 6874
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:13:45 +0900] "GET /ctc/resources/jquery/script.js HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:13:47 +0900] "GET /ctc/goods/goodsRentSearch.do HTTP/1.1" 200 29146
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:13:47 +0900] "GET /ctc/resources/image/rent/my_shopbag.jpg HTTP/1.1" 200 32920
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:13:47 +0900] "GET /ctc/resources/image/rent/check.jpg HTTP/1.1" 200 42749
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:13:47 +0900] "GET /ctc/resources/image/car.png HTTP/1.1" 200 14231
